image,manufacturer,ratings,reviews,product,model,price,shipping_cost,original_price
https://c1.neweggimages.com/productimage/nb300/14-126-791-01.png,ASUS,4.7,(59),ASUS PRIME GeForce RTX 5060 Ti 16GB 128-Bit GDDR7 PCI Express 5.0 x8 DLSS 4.0 Graphics Card PRIME-RTX5060TI-16G,PRIME-RTX5060TI-16G,$809.99 ,Free Shipping,$874.79
https://c1.neweggimages.com/productimage/nb300/14-930-112-05.jpg,ASRock,4.2,(24),ASRock Challenger Arc A580 8GB GDDR6 PCI Express 4.0 x16 ATX Graphics Card A580 CL 8GO,A580 CL 8GO,$199.99 ,Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-932-751-01.jpg,GIGABYTE,4.5,(235),GIGABYTE Gaming Radeon RX 9070 XT 16GB GDDR6 PCI Express 5.0 x16 Graphics Card GV-R9070XTGAMING-16GD,GV-R9070XTGAMING-16GD,$999.99 ,Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-126-761-01.png,ASUS,4.5,(172),ASUS PRIME GeForce RTX 5070 12GB 192-Bit GDDR7 PCI Express 5.0 Graphics Card PRIME-RTX5070-12G,PRIME-RTX5070-12G,$819.99 ,Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-932-765-02.jpg,GIGABYTE,4.3,(137),GIGABYTE AORUS GeForce RTX 5090 32GB GDDR7 PCI Express 5.0 ATX Graphics Card GV-N5090AORUSM ICE-32GD,GV-N5090AORUSM ICE-32GD,"$4,699.99 ",Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-137-914-03.png,MSI,4.7,(136),MSI Suprim GeForce RTX 5090 32GB GDDR7 PCI Express 5.0 Graphics Card RTX 5090 32G SUPRIM LIQUID SOC,RTX 5090 32G SUPRIM LIQUID SOC,"$4,699.99 ",Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-930-135-02.jpg,ASRock,4.5,(79),ASRock Taichi Radeon RX 9070 XT 16GB GDDR6 PCI Express 5.0 x16 ATX Graphics Card RX9070XT TC 16GO,RX9070XT TC 16GO,$789.99 ,Free Shipping,$837.49
https://c1.neweggimages.com/productimage/nb300/14-137-931-05.jpg,MSI,4.6,(393),MSI Gaming GeForce RTX 5070 Ti 16GB GDDR7 PCI Express 5.0 ATX Graphics Card RTX 5070 Ti 16G GAMING TRIO OC,RTX 5070 TI 16G GAMING TRIO OC,"$1,049.99 ",Free Shipping,"$1,133.99"
https://c1.neweggimages.com/productimage/nb300/14-126-817-01.png,ASUS,4.9,(7),ASUS Dual Radeon RX 9060 XT 16GB GDDR6 PCI Express 5.0 x16 ATX Graphics Card DUAL-RX9060XT-16G,DUAL-RX9060XT-16G,$479.00 ,Free Shipping,$507.99
https://c1.neweggimages.com/productimage/nb300/14-930-147-05.jpg,ASRock,4.4,(7),ASRock Taichi Radeon RX 9070 XT 16GB GDDR6 PCI Express 5.0 x16 Graphics Card,RX9070XT TCW 16GO,$839.99 ,Free Shipping,$890.49
https://c1.neweggimages.com/productimage/nb300/14-982-006-03.jpg,MSI,4.6,(393),MSI Ventus GeForce RTX 5070 Ti 16GB GDDR7 PCI Express 5.0 Graphics Card RTX 5070 Ti 16G VENTUS 3X PZ OC BLACK,RTX 5070 Ti 16G VENTUS 3X PZ OC BLACK,"$1,199.99 ",Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-126-524-01.jpg,ASUS,4.7,(260),ASUS Dual GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Graphics Card DUAL-RTX3060-O12G-V2,DUAL-RTX3060-O12G-V2,$474.00 ,Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-932-793-01.jpg,GIGABYTE,4.5,(113),GIGABYTE Gaming GeForce RTX 5060 Ti 8GB GDDR7 PCI Express 5.0 x8 ATX Graphics Card GV-N506TGAMING OC-8GD,GV-N506TGAMING OC-8GD,$529.99 ,Free Shipping,$551.19
https://c1.neweggimages.com/productimage/nb300/14-126-814-02.png,ASUS,4.6,(97),ASUS ROG Astral GeForce RTX 5090 32GB GDDR7 PCI Express 5.0 Graphics Card ROG-ASTRAL-RTX5090-O32G-WHITE,ROG-ASTRAL-RTX5090-O32G-WHITE,"$4,929.99 ",Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-150-909-01.jpg,XFX,4.9,(10),"XFX SWIFT AMD Radeon RX 9060 XT OC White Triple Fan Gaming Edition with 16GB GDDR6 HDMI 2xDP, AMD RDNA 4 RX 9060XT 16GB",RX-96TS316W7,$529.99 ,Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-137-990-04.jpg,MSI,4.6,(393),MSI MLG Edition GeForce RTX 5070 Ti 16GB GDDR7 PCI Express 5.0 Graphics Card RTX 5070 Ti 16G MLG EDITION OC,RTX 5070 Ti 16G MLG EDITION OC,"$1,099.99 ",Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-137-992-01.jpg,MSI,4.6,(166),MSI Ventus GeForce RTX 5060 Ti 16GB GDDR7 PCI Express 5.0 x16 (use x8) Graphics Card (RTX 5060 Ti 16G VENTUS 2X OC BLACK PLUS),RTX 5060 Ti 16G VENTUS 2X OC BLACK PLUS,$789.99 ,Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-932-796-01.jpg,GIGABYTE,4.5,(113),GIGABYTE WindForce GeForce RTX 5060 Ti 8GB GDDR7 PCI Express 5.0 x8 ATX Graphics Card GV-N506TWF2OC-8GD,GV-N506TWF2OC-8GD,$509.99 ,Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-126-798-01.png,ASUS,4.7,(59),ASUS Dual GeForce RTX 5060 Ti 16GB 128-Bit GDDR7 PCI Express 5.0 x8 DLSS 4.0 Graphics Card DUAL-RTX5060TI-O16G,DUAL-RTX5060TI-O16G,$799.99 ,Free Shipping,$863.99
https://c1.neweggimages.com/productimage/nb300/14-126-744-02.png,ASUS,4.7,(173),ASUS PRIME GeForce RTX 5080 16GB GDDR7 OC Edition PRIME-RTX5080-O16G PCI-Express 5.0 DLSS 4.0 Graphics Card,PRIME-RTX5080-O16G,"$1,699.99 ",Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-137-975-03.jpg,MSI,4.9,(21),MSI Ventus GeForce RTX 5060 8GB GDDR7 PCI Express 5.0 x 16 (use x8) Graphics Card RTX 5060 8G VENTUS 2X OC,RTX 5060 8G VENTUS 2X OC,$459.99 ,Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-137-995-01.png,MSI,4.6,(393),MSI Ventus GeForce RTX 5070 Ti 16GB GDDR7 PCI Express 5.0 Graphics Card RTX 5070 Ti 16G VENTUS 3X PZ OC,RTX 5070 Ti 16G VENTUS 3X PZ OC,"$1,698.00 ",Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-932-792-01.jpg,GIGABYTE,4.5,(113),GIGABYTE AERO GeForce RTX 5060 Ti 8GB GDDR7 PCI Express 5.0 x8 ATX Graphics Card GV-N506TAERO OC-8GD,GV-N506TAERO OC-8GD,$539.99 ,Free Shipping,$561.59
https://c1.neweggimages.com/productimage/nb300/14-133-900-03.png,,5,(4),"PNY GeForce RTX 5070 Ti OC PCI Express 5.0, 16GB GDDR7, DLSS 4.0 Graphics Card VCG5070T16TFXPB1-O",VCG5070T16TFXPB1-O,"$1,382.61 ",,
https://c1.neweggimages.com/productimage/nb300/14-930-146-07.jpg,ASRock,4.9,(13),ASRock Monster Hunter Wilds Radeon RX 9070 XT 16GB GDDR6 PCI Express 5.0 x16 Graphics Card RX9070XT MH 16G,RX9070XT MH 16G,$769.99 ,Free Shipping,$816.49
https://c1.neweggimages.com/productimage/nb300/14-137-910-08.jpg,MSI,4.5,(248),MSI Gaming GeForce RTX 5080 16GB GDDR7 PCI Express 5.0 Graphics Card RTX 5080 16G GAMING TRIO OC,RTX 5080 16G GAMING TRIO OC,"$1,799.99 ",Free Shipping,
https://c1.neweggimages.com/productimage/nb300/14-932-823-18.jpg,GIGABYTE,4.5,(235),GIGABYTE Gaming Radeon RX 9070 XT 16GB GDDR6 PCI Express 5.0 x16 Graphics Card GV-R907XGAMINGOCICE-16GD,GV-R907XGAMINGOCICE-16GD,$859.03 ,,
https://c1.neweggimages.com/productimage/nb300/14-131-871-01.png,PowerColor,4.6,(43),PowerColor Reaper Radeon RX 9070 XT 16GB GDDR6 PCI Express 5.0 x16 RDNA 4 ATX Graphics Card RX9070XT 16G-A,RX9070XT 16G-A,$789.99 ,Free Shipping,$799.99
